# score prediction true_values loss
2.287777343750000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.969582763671875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 3.969582763671875000e+03
1.202193066406250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.571604614257812500e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.571604614257812500e+03
9.339702148437500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.553214111328125000e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.553214111328125000e+02
1.884251562500000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.706660888671875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.706660888671875000e+03
1.937814843750000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.530439208984375000e+03 1.000000000000000000e+00 0.000000000000000000e+00 3.530439208984375000e+03
1.636880859375000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.078689453125000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.078689453125000000e+03
1.235197167968750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.624052001953125000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.624052001953125000e+03
2.541182617187500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.071338867187500000e+03 1.000000000000000000e+00 0.000000000000000000e+00 5.071338867187500000e+03
5.140440429687500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-6.370346679687500000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.966154296875000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.574204101562500000e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.574204101562500000e+02
5.458202148437500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.236130981445312500e+02 1.000000000000000000e+00 0.000000000000000000e+00 3.236130981445312500e+02
1.277290234375000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.530970214843750000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.530970214843750000e+03
7.176413085937500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.053581237792968750e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.053581237792968750e+02
1.493842285156250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.294742187500000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.294742187500000000e+03
3.850858886718750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-4.329009056091308594e+00 1.300913281738758087e-02 0.000000000000000000e+00 1.309450529515743256e-02
7.107765625000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.696945953369140625e+02 1.000000000000000000e+00 0.000000000000000000e+00 1.696945953369140625e+02
2.397732617187500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.788950683593750000e+03 1.000000000000000000e+00 0.000000000000000000e+00 3.788950683593750000e+03
1.561879101562500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.208003906250000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.208003906250000000e+03
5.236382812500000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.366143131256103516e+01 9.999988079071044922e-01 0.000000000000000000e+00 1.366143226623535156e+01
5.234692382812500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.408743286132812500e+02 1.000000000000000000e+00 0.000000000000000000e+00 4.408743286132812500e+02
8.600062500000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.336372070312500000e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.336372070312500000e+02
6.748585937500000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.086192626953125000e+02 1.000000000000000000e+00 0.000000000000000000e+00 9.086192626953125000e+02
2.191738769531250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-4.275679016113281250e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.144399414062500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.689954528808593750e+02 1.000000000000000000e+00 0.000000000000000000e+00 3.689954528808593750e+02
1.607692871093750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.322967285156250000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.322967285156250000e+03
6.549837402343750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.280443267822265625e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350219726562500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.207254394531250000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.207254394531250000e+03
7.008448730468750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.673201293945312500e+02 1.000000000000000000e+00 0.000000000000000000e+00 4.673201293945312500e+02
9.201281250000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.712139282226562500e+02 1.000000000000000000e+00 0.000000000000000000e+00 7.712139282226562500e+02
9.454875000000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.166253051757812500e+02 1.000000000000000000e+00 0.000000000000000000e+00 7.166253051757812500e+02
6.743811035156250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.011454772949218750e+02 1.000000000000000000e+00 0.000000000000000000e+00 4.011454772949218750e+02
