# score prediction true_values loss
8.189159667968750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.115744018554687500e+02 1.000000000000000000e+00 0.000000000000000000e+00 3.115744018554687500e+02
9.471793945312500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.032756958007812500e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.032756958007812500e+03
4.005645019531250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-1.160825927734375000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.020866699218750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.548657958984375000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.196165039062500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.450156250000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.450156250000000000e+02
2.846169677734375000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-1.631650146484375000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.450457226562500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.338118652343750000e+03 1.000000000000000000e+00 0.000000000000000000e+00 4.338118652343750000e+03
4.686250000000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-1.919605102539062500e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.663404101562500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.714308471679687500e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.714308471679687500e+03
7.690183593750000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.099685974121093750e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.099685974121093750e+02
3.069462402343750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.010162811279296875e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.145986621093750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.215731933593750000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.215731933593750000e+03
2.229867968750000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.895442382812500000e+03 1.000000000000000000e+00 0.000000000000000000e+00 3.895442382812500000e+03
1.083949023437500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.008043395996093750e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.008043395996093750e+03
5.146065429687500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.698019866943359375e+02 1.000000000000000000e+00 0.000000000000000000e+00 1.698019866943359375e+02
6.260762207031250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.245301513671875000e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.245301513671875000e+02
1.005187500000000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.903646850585937500e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.903646850585937500e+02
7.056130859375000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.369274291992187500e+02 1.000000000000000000e+00 0.000000000000000000e+00 4.369274291992187500e+02
5.998531738281250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.529179334640502930e+00 9.261622428894042969e-01 0.000000000000000000e+00 2.605885267257690430e+00
2.629467529296875000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.812187255859375000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.549155273437500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.897369995117187500e+02 1.000000000000000000e+00 0.000000000000000000e+00 9.897369995117187500e+02
2.689806640625000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.677008789062500000e+03 1.000000000000000000e+00 0.000000000000000000e+00 4.677008789062500000e+03
4.271570312500000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-4.054301834106445312e+01 2.468259798563319059e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.684490039062500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.672371093750000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 4.672371093750000000e+03
3.907558837890625000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-1.454154907226562500e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.459048339843750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.565637207031250000e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.565637207031250000e+02
3.628753662109375000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.457891693115234375e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.702515234375000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.380341552734375000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.380341552734375000e+03
1.633965332031250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.422930419921875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.422930419921875000e+03
2.829328613281250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-6.961434936523437500e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.846186718750000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.623028076171875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.623028076171875000e+03
5.738188476562500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.624656982421875000e+02 1.000000000000000000e+00 0.000000000000000000e+00 2.624656982421875000e+02
1.882605224609375000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-2.070331298828125000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.084239257812500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.883952636718750000e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.883952636718750000e+02
6.713306640625000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.819848022460937500e+02 1.000000000000000000e+00 0.000000000000000000e+00 7.819848022460937500e+02
1.627109667968750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.746494873046875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.746494873046875000e+03
5.807438476562500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
-9.946988677978515625e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.472511132812500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.862559326171875000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.862559326171875000e+03
1.038328808593750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.185607299804687500e+02 1.000000000000000000e+00 0.000000000000000000e+00 9.185607299804687500e+02
9.948311523437500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.636173095703125000e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.636173095703125000e+02
1.100069921875000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.452270507812500000e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.452270507812500000e+02
