,k,B,Q
0,0.001227184630308513,-1127153.0075347072,-6436.808254547296
1,0.0012297643796647952,-1078181.4422831086,-7290.955704276416
2,0.0012323495520899276,-1078181.4422831086,-7290.955704276416
3,0.0012349401589841161,-1078181.4422831086,-7290.955704276416
4,0.0012375362117715326,-1078181.4422831086,-7290.955704276416
5,0.0012401377219003645,-1078181.4422831086,-7290.955704276416
6,0.001242744700842865,-1078181.4422831086,-7290.955704276416
7,0.001245357160095404,-1078181.4422831086,-7290.955704276416
8,0.001247975111178519,-1078181.4422831086,-7290.955704276416
9,0.0012505985656369653,-1078181.4422831086,-7290.955704276416
10,0.0012532275350397677,-1078181.4422831086,-7290.955704276416
11,0.00125586203098027,-1078181.4422831086,-7290.955704276416
12,0.0012585020650761882,-1078181.4422831086,-7290.955704276416
13,0.0012611476489696606,-1078181.4422831086,-7290.955704276416
14,0.0012637987943272986,-1078181.4422831086,-7290.955704276416
15,0.0012664555128402391,-1078181.4422831086,-7290.955704276416
16,0.0012691178162241962,-1078181.4422831086,-7290.955704276416
17,0.0012717857162195118,-1078181.4422831086,-7290.955704276416
18,0.0012744592245912082,-1078181.4422831086,-7290.955704276416
19,0.0012771383531290398,-1078181.4422831086,-7290.955704276416
20,0.0012798231136475452,-1078181.4422831086,-7290.955704276416
21,0.0012825135179860986,-1078181.4422831086,-7290.955704276416
22,0.0012852095780089632,-1078181.4422831086,-7290.955704276416
23,0.0012879113056053426,-1078181.4422831086,-7290.955704276416
24,0.0012906187126894334,-1078181.4422831086,-7290.955704276416
25,0.0012933318112004783,-1078181.4422831086,-7290.955704276416
26,0.0012960506131028176,-1078181.4422831086,-7290.955704276416
27,0.0012987751303859436,-1078181.4422831086,-7290.955704276416
28,0.0013015053750645516,-1078181.4422831086,-7290.955704276416
29,0.0013042413591785942,-1078181.4422831086,-7290.955704276416
30,0.0013069830947933343,-1078181.4422831086,-7290.955704276416
31,0.0013097305939993975,-1078181.4422831086,-7290.955704276416
32,0.0013124838689128262,-1078181.4422831086,-7290.955704276416
33,0.001315242931675133,-1078181.4422831086,-7290.955704276416
34,0.0013180077944533537,-1078181.4422831086,-7290.955704276416
35,0.0013207784694401013,-1078181.4422831086,-7290.955704276416
36,0.0013235549688536195,-1078181.4422831086,-7290.955704276416
37,0.0013263373049378375,-1078181.4422831086,-7290.955704276416
38,0.0013291254899624226,-1078181.4422831086,-7290.955704276416
39,0.0013319195362228354,-1078181.4422831086,-7290.955704276416
40,0.0013347194560403837,-1078181.4422831086,-7290.955704276416
41,0.0013375252617622763,-1078181.4422831086,-7290.955704276416
42,0.0013403369657616784,-1078181.4422831086,-7290.955704276416
43,0.0013431545804377656,-1078181.4422831086,-7290.955704276416
44,0.0013459781182157782,-1078181.4422831086,-7290.955704276416
45,0.0013488075915470772,-1078181.4422831086,-7290.955704276416
46,0.0013516430129091978,-1078181.4422831086,-7290.955704276416
47,0.0013544843948059056,-1078181.4422831086,-7290.955704276416
48,0.001357331749767251,-1078181.4422831086,-7290.955704276416
49,0.0013601850903496246,-1078181.4422831086,-7290.955704276416
50,0.0013630444291358125,-1078181.4422831086,-7290.955704276416
51,0.0013659097787350526,-1078181.4422831086,-7290.955704276416
52,0.0013687811517830888,-1078181.4422831086,-7290.955704276416
53,0.001371658560942228,-1078181.4422831086,-7290.955704276416
54,0.0013745420189013949,-1078181.4422831086,-7290.955704276416
55,0.001377431538376189,-1078181.4422831086,-7290.955704276416
56,0.00138032713210894,-1078181.4422831086,-7290.955704276416
57,0.0013832288128687639,-1078181.4422831086,-7290.955704276416
58,0.0013861365934516197,-1078181.4422831086,-7290.955704276416
59,0.0013890504866803655,-1078181.4422831086,-7290.955704276416
60,0.0013919705054048154,-1078181.4422831086,-7290.955704276416
61,0.001394896662501796,-1078181.4422831086,-7290.955704276416
62,0.001397828970875203,-1078181.4422831086,-7290.955704276416
63,0.0014007674434560584,-1078181.4422831086,-7290.955704276416
64,0.0014037120932025673,-1078181.4422831086,-7290.955704276416
65,0.0014066629331001754,-1078181.4422831086,-7290.955704276416
66,0.0014096199761616257,-1078181.4422831086,-7290.955704276416
67,0.001412583235427016,-1078181.4422831086,-7290.955704276416
68,0.001415552723963857,-1078181.4422831086,-7290.955704276416
69,0.0014185284548671297,-1078181.4422831086,-7290.955704276416
70,0.0014215104412593422,-1078181.4422831086,-7290.955704276416
71,0.001424498696290589,-1078181.4422831086,-7290.955704276416
72,0.001427493233138608,-1078181.4422831086,-7290.955704276416
73,0.0014304940650088388,-1078181.4422831086,-7290.955704276416
74,0.0014335012051344817,-1078181.4422831086,-7290.955704276416
75,0.0014365146667765548,-1078181.4422831086,-7290.955704276416
76,0.0014395344632239532,-1078181.4422831086,-7290.955704276416
77,0.0014425606077935079,-1078181.4422831086,-7290.955704276416
78,0.0014455931138300435,-1078181.4422831086,-7290.955704276416
79,0.001448631994706438,-1078181.4422831086,-7290.955704276416
80,0.0014516772638236818,-1078181.4422831086,-7290.955704276416
81,0.0014547289346109357,-1078181.4422831086,-7290.955704276416
82,0.0014577870205255915,-1078181.4422831086,-7290.955704276416
83,0.0014608515350533304,-1078181.4422831086,-7290.955704276416
84,0.001463922491708183,-1078181.4422831086,-7290.955704276416
85,0.0014669999040325882,-1078181.4422831086,-7290.955704276416
86,0.001470083785597454,-1078181.4422831086,-7290.955704276416
87,0.0014731741500022162,-1078181.4422831086,-7290.955704276416
88,0.0014762710108748994,-1078181.4422831086,-7290.955704276416
89,0.0014793743818721766,-1078181.4422831086,-7290.955704276416
90,0.0014824842766794286,-1078181.4422831086,-7290.955704276416
91,0.0014856007090108061,-1078181.4422831086,-7290.955704276416
92,0.0014887236926092893,-1078181.4422831086,-7290.955704276416
93,0.0014918532412467476,-1078181.4422831086,-7290.955704276416
94,0.0014949893687240018,-1078181.4422831086,-7290.955704276416
95,0.0014981320888708847,-1078181.4422831086,-7290.955704276416
96,0.0015012814155463009,-1078181.4422831086,-7290.955704276416
97,0.0015044373626382892,-1078181.4422831086,-7290.955704276416
98,0.0015075999440640835,-1078181.4422831086,-7290.955704276416
99,0.0015107691737701737,-1078181.4422831086,-7290.955704276416
100,0.0015139450657323684,-1078181.4422831086,-7290.955704276416
101,0.0015171276339558547,-541440.2350387156,-5845.577459691817
102,0.0015203168924752615,-541440.2350387156,-5845.577459691817
103,0.0015235128553547207,-541440.2350387156,-5845.577459691817
104,0.0015267155366879297,-541440.2350387156,-5845.577459691817
105,0.0015299249505982128,-541440.2350387156,-5845.577459691817
106,0.001533141111238584,-541440.2350387156,-5845.577459691817
107,0.0015363640327918095,-541440.2350387156,-5845.577459691817
108,0.00153959372947047,-541440.2350387156,-5845.577459691817
109,0.0015428302155170237,-541440.2350387156,-5845.577459691817
110,0.0015460735052038681,-541440.2350387156,-5845.577459691817
111,0.0015493236128334047,-541440.2350387156,-5845.577459691817
112,0.0015525805527381,-541440.2350387156,-5845.577459691817
113,0.001555844339280551,-541440.2350387156,-5845.577459691817
114,0.0015591149868535458,-541440.2350387156,-5845.577459691817
115,0.00156239250988013,-541440.2350387156,-5845.577459691817
116,0.0015656769228136681,-541440.2350387156,-5845.577459691817
117,0.001568968240137908,-541440.2350387156,-5845.577459691817
