,k,B,Q
0,0.001227184630308513,-1153987.509420067,-10421.009573404073
1,0.0012297643796647952,-1077218.5147671455,-11591.182877461593
2,0.0012323495520899276,-1077218.5147671455,-11591.182877461593
3,0.0012349401589841161,-1077218.5147671455,-11591.182877461593
4,0.0012375362117715326,-1077218.5147671455,-11591.182877461593
5,0.0012401377219003645,-1077218.5147671455,-11591.182877461593
6,0.001242744700842865,-1077218.5147671455,-11591.182877461593
7,0.001245357160095404,-1077218.5147671455,-11591.182877461593
8,0.001247975111178519,-1077218.5147671455,-11591.182877461593
9,0.0012505985656369653,-1077218.5147671455,-11591.182877461593
10,0.0012532275350397677,-1077218.5147671455,-11591.182877461593
11,0.00125586203098027,-1077218.5147671455,-11591.182877461593
12,0.0012585020650761882,-843452.5375706017,-10396.068780527534
13,0.0012611476489696606,-843452.5375706017,-10396.068780527534
14,0.0012637987943272986,-843452.5375706017,-10396.068780527534
15,0.0012664555128402391,-843452.5375706017,-10396.068780527534
16,0.0012691178162241962,-843452.5375706017,-10396.068780527534
17,0.0012717857162195118,-843452.5375706017,-10396.068780527534
18,0.0012744592245912082,-843452.5375706017,-10396.068780527534
19,0.0012771383531290398,-843452.5375706017,-10396.068780527534
20,0.0012798231136475452,-843452.5375706017,-10396.068780527534
21,0.0012825135179860986,-843452.5375706017,-10396.068780527534
22,0.0012852095780089632,-843452.5375706017,-10396.068780527534
23,0.0012879113056053426,-843452.5375706017,-10396.068780527534
24,0.0012906187126894334,-843452.5375706017,-10396.068780527534
25,0.0012933318112004783,-843452.5375706017,-10396.068780527534
26,0.0012960506131028176,-843452.5375706017,-10396.068780527534
27,0.0012987751303859436,-843452.5375706017,-10396.068780527534
28,0.0013015053750645516,-843452.5375706017,-10396.068780527534
29,0.0013042413591785942,-843452.5375706017,-10396.068780527534
30,0.0013069830947933343,-843452.5375706017,-10396.068780527534
31,0.0013097305939993975,-843452.5375706017,-10396.068780527534
32,0.0013124838689128262,-843452.5375706017,-10396.068780527534
33,0.001315242931675133,-843452.5375706017,-10396.068780527534
34,0.0013180077944533537,-843452.5375706017,-10396.068780527534
35,0.0013207784694401013,-843452.5375706017,-10396.068780527534
36,0.0013235549688536195,-843452.5375706017,-10396.068780527534
37,0.0013263373049378375,-843452.5375706017,-10396.068780527534
38,0.0013291254899624226,-843452.5375706017,-10396.068780527534
39,0.0013319195362228354,-843452.5375706017,-10396.068780527534
40,0.0013347194560403837,-843452.5375706017,-10396.068780527534
41,0.0013375252617622763,-843452.5375706017,-10396.068780527534
42,0.0013403369657616784,-843452.5375706017,-10396.068780527534
43,0.0013431545804377656,-843452.5375706017,-10396.068780527534
44,0.0013459781182157782,-843452.5375706017,-10396.068780527534
45,0.0013488075915470772,-843452.5375706017,-10396.068780527534
46,0.0013516430129091978,-843452.5375706017,-10396.068780527534
47,0.0013544843948059056,-843452.5375706017,-10396.068780527534
48,0.001357331749767251,-843452.5375706017,-10396.068780527534
49,0.0013601850903496246,-843452.5375706017,-10396.068780527534
50,0.0013630444291358125,-843452.5375706017,-10396.068780527534
51,0.0013659097787350526,-843452.5375706017,-10396.068780527534
52,0.0013687811517830888,-843452.5375706017,-10396.068780527534
53,0.001371658560942228,-843452.5375706017,-10396.068780527534
54,0.0013745420189013949,-843452.5375706017,-10396.068780527534
55,0.001377431538376189,-843452.5375706017,-10396.068780527534
56,0.00138032713210894,-843452.5375706017,-10396.068780527534
57,0.0013832288128687639,-843452.5375706017,-10396.068780527534
58,0.0013861365934516197,-843452.5375706017,-10396.068780527534
59,0.0013890504866803655,-843452.5375706017,-10396.068780527534
60,0.0013919705054048154,-843452.5375706017,-10396.068780527534
61,0.001394896662501796,-843452.5375706017,-10396.068780527534
62,0.001397828970875203,-843452.5375706017,-10396.068780527534
63,0.0014007674434560584,-843452.5375706017,-10396.068780527534
64,0.0014037120932025673,-843452.5375706017,-10396.068780527534
65,0.0014066629331001754,-843452.5375706017,-10396.068780527534
66,0.0014096199761616257,-843452.5375706017,-10396.068780527534
67,0.001412583235427016,-843452.5375706017,-10396.068780527534
68,0.001415552723963857,-843452.5375706017,-10396.068780527534
69,0.0014185284548671297,-843452.5375706017,-10396.068780527534
70,0.0014215104412593422,-843452.5375706017,-10396.068780527534
71,0.001424498696290589,-843452.5375706017,-10396.068780527534
