,k,B,Q
0,0.001227184630308513,-186665.71084080072,-6256.565798733957
1,0.0012297643796647952,-102746.26395499265,-4079.771209123533
2,0.0012323495520899276,-102746.26395499265,-4079.771209123533
3,0.0012349401589841161,-102746.26395499265,-4079.771209123533
4,0.0012375362117715326,-102746.26395499265,-4079.771209123533
5,0.0012401377219003645,-102746.26395499265,-4079.771209123533
6,0.001242744700842865,-102746.26395499265,-4079.771209123533
7,0.001245357160095404,-102746.26395499265,-4079.771209123533
8,0.001247975111178519,-102746.26395499265,-4079.771209123533
9,0.0012505985656369653,-102746.26395499265,-4079.771209123533
10,0.0012532275350397677,-102746.26395499265,-4079.771209123533
11,0.00125586203098027,-102746.26395499265,-4079.771209123533
12,0.0012585020650761882,-102746.26395499265,-4079.771209123533
13,0.0012611476489696606,-102746.26395499265,-4079.771209123533
14,0.0012637987943272986,-102746.26395499265,-4079.771209123533
15,0.0012664555128402391,-102746.26395499265,-4079.771209123533
16,0.0012691178162241962,-102746.26395499265,-4079.771209123533
17,0.0012717857162195118,-102746.26395499265,-4079.771209123533
18,0.0012744592245912082,-102746.26395499265,-4079.771209123533
19,0.0012771383531290398,-102746.26395499265,-4079.771209123533
20,0.0012798231136475452,-102746.26395499265,-4079.771209123533
21,0.0012825135179860986,-102746.26395499265,-4079.771209123533
22,0.0012852095780089632,-102746.26395499265,-4079.771209123533
23,0.0012879113056053426,-102746.26395499265,-4079.771209123533
24,0.0012906187126894334,-102746.26395499265,-4079.771209123533
25,0.0012933318112004783,-102746.26395499265,-4079.771209123533
26,0.0012960506131028176,-102746.26395499265,-4079.771209123533
27,0.0012987751303859436,-102746.26395499265,-4079.771209123533
28,0.0013015053750645516,-102746.26395499265,-4079.771209123533
29,0.0013042413591785942,-102746.26395499265,-4079.771209123533
30,0.0013069830947933343,-102746.26395499265,-4079.771209123533
31,0.0013097305939993975,-102746.26395499265,-4079.771209123533
32,0.0013124838689128262,-102746.26395499265,-4079.771209123533
33,0.001315242931675133,-102746.26395499265,-4079.771209123533
34,0.0013180077944533537,-102746.26395499265,-4079.771209123533
35,0.0013207784694401013,-102746.26395499265,-4079.771209123533
36,0.0013235549688536195,-102746.26395499265,-4079.771209123533
37,0.0013263373049378375,-102746.26395499265,-4079.771209123533
38,0.0013291254899624226,-102746.26395499265,-4079.771209123533
39,0.0013319195362228354,-102746.26395499265,-4079.771209123533
40,0.0013347194560403837,-102746.26395499265,-4079.771209123533
41,0.0013375252617622763,-102746.26395499265,-4079.771209123533
42,0.0013403369657616784,-102746.26395499265,-4079.771209123533
43,0.0013431545804377656,-102746.26395499265,-4079.771209123533
44,0.0013459781182157782,-102746.26395499265,-4079.771209123533
45,0.0013488075915470772,-102746.26395499265,-4079.771209123533
46,0.0013516430129091978,-102746.26395499265,-4079.771209123533
47,0.0013544843948059056,-102746.26395499265,-4079.771209123533
48,0.001357331749767251,-102746.26395499265,-4079.771209123533
49,0.0013601850903496246,-102746.26395499265,-4079.771209123533
50,0.0013630444291358125,-102746.26395499265,-4079.771209123533
51,0.0013659097787350526,-102746.26395499265,-4079.771209123533
52,0.0013687811517830888,-102746.26395499265,-4079.771209123533
53,0.001371658560942228,-102746.26395499265,-4079.771209123533
54,0.0013745420189013949,-102746.26395499265,-4079.771209123533
55,0.001377431538376189,-102746.26395499265,-4079.771209123533
56,0.00138032713210894,-102746.26395499265,-4079.771209123533
57,0.0013832288128687639,-102746.26395499265,-4079.771209123533
58,0.0013861365934516197,-102746.26395499265,-4079.771209123533
59,0.0013890504866803655,-102746.26395499265,-4079.771209123533
60,0.0013919705054048154,-102746.26395499265,-4079.771209123533
61,0.001394896662501796,-102746.26395499265,-4079.771209123533
62,0.001397828970875203,-102746.26395499265,-4079.771209123533
63,0.0014007674434560584,-102746.26395499265,-4079.771209123533
64,0.0014037120932025673,-102746.26395499265,-4079.771209123533
65,0.0014066629331001754,-102746.26395499265,-4079.771209123533
66,0.0014096199761616257,-102746.26395499265,-4079.771209123533
67,0.001412583235427016,-102746.26395499265,-4079.771209123533
68,0.001415552723963857,-102746.26395499265,-4079.771209123533
69,0.0014185284548671297,-102746.26395499265,-4079.771209123533
70,0.0014215104412593422,-102746.26395499265,-4079.771209123533
71,0.001424498696290589,-102746.26395499265,-4079.771209123533
72,0.001427493233138608,-102746.26395499265,-4079.771209123533
73,0.0014304940650088388,-102746.26395499265,-4079.771209123533
74,0.0014335012051344817,-102746.26395499265,-4079.771209123533
75,0.0014365146667765548,-102746.26395499265,-4079.771209123533
76,0.0014395344632239532,-102746.26395499265,-4079.771209123533
77,0.0014425606077935079,-102746.26395499265,-4079.771209123533
78,0.0014455931138300435,-102746.26395499265,-4079.771209123533
79,0.001448631994706438,-102746.26395499265,-4079.771209123533
80,0.0014516772638236818,-102746.26395499265,-4079.771209123533
81,0.0014547289346109357,-102746.26395499265,-4079.771209123533
82,0.0014577870205255915,-102746.26395499265,-4079.771209123533
83,0.0014608515350533304,-102746.26395499265,-4079.771209123533
84,0.001463922491708183,-102746.26395499265,-4079.771209123533
85,0.0014669999040325882,-102746.26395499265,-4079.771209123533
86,0.001470083785597454,-102746.26395499265,-4079.771209123533
87,0.0014731741500022162,-102746.26395499265,-4079.771209123533
88,0.0014762710108748994,-102746.26395499265,-4079.771209123533
89,0.0014793743818721766,-102746.26395499265,-4079.771209123533
90,0.0014824842766794286,-102746.26395499265,-4079.771209123533
91,0.0014856007090108061,-102746.26395499265,-4079.771209123533
92,0.0014887236926092893,-102746.26395499265,-4079.771209123533
93,0.0014918532412467476,-102746.26395499265,-4079.771209123533
94,0.0014949893687240018,-102746.26395499265,-4079.771209123533
95,0.0014981320888708847,-102746.26395499265,-4079.771209123533
96,0.0015012814155463009,-102746.26395499265,-4079.771209123533
97,0.0015044373626382892,-102746.26395499265,-4079.771209123533
98,0.0015075999440640835,-102746.26395499265,-4079.771209123533
99,0.0015107691737701737,-102746.26395499265,-4079.771209123533
100,0.0015139450657323684,-102746.26395499265,-4079.771209123533
101,0.0015171276339558547,-31893.616715577096,-2083.437790805896
102,0.0015203168924752615,-31893.616715577096,-2083.437790805896
103,0.0015235128553547207,-31893.616715577096,-2083.437790805896
104,0.0015267155366879297,-31893.616715577096,-2083.437790805896
105,0.0015299249505982128,-31893.616715577096,-2083.437790805896
106,0.001533141111238584,-31893.616715577096,-2083.437790805896
107,0.0015363640327918095,-31893.616715577096,-2083.437790805896
108,0.00153959372947047,-31893.616715577096,-2083.437790805896
109,0.0015428302155170237,-31893.616715577096,-2083.437790805896
110,0.0015460735052038681,-31893.616715577096,-2083.437790805896
111,0.0015493236128334047,-31893.616715577096,-2083.437790805896
112,0.0015525805527381,-31893.616715577096,-2083.437790805896
113,0.001555844339280551,-31893.616715577096,-2083.437790805896
114,0.0015591149868535458,-31893.616715577096,-2083.437790805896
115,0.00156239250988013,-31893.616715577096,-2083.437790805896
116,0.0015656769228136681,-31893.616715577096,-2083.437790805896
117,0.001568968240137908,-31893.616715577096,-2083.437790805896
118,0.0015722664763670453,-31893.616715577096,-2083.437790805896
119,0.0015755716460457865,-31893.616715577096,-2083.437790805896
120,0.0015788837637494139,-31893.616715577096,-2083.437790805896
121,0.0015822028440838488,-31893.616715577096,-2083.437790805896
122,0.0015855289016857175,-31893.616715577096,-2083.437790805896
123,0.0015888619512224146,-31893.616715577096,-2083.437790805896
124,0.0015922020073921679,-31893.616715577096,-2083.437790805896
125,0.0015955490849241033,-31893.616715577096,-2083.437790805896
126,0.0015989031985783103,-31893.616715577096,-2083.437790805896
127,0.0016022643631459059,-31893.616715577096,-2083.437790805896
128,0.0016056325934491011,-31893.616715577096,-2083.437790805896
129,0.0016090079043412655,-31893.616715577096,-2083.437790805896
130,0.001612390310706993,-31893.616715577096,-2083.437790805896
131,0.001615779827462167,-31893.616715577096,-2083.437790805896
132,0.0016191764695540278,-31893.616715577096,-2083.437790805896
133,0.001622580251961236,-31893.616715577096,-2083.437790805896
134,0.0016259911896939403,-31893.616715577096,-2083.437790805896
135,0.0016294092977938437,-31893.616715577096,-2083.437790805896
136,0.001632834591334269,-31893.616715577096,-2083.437790805896
137,0.0016362670854202256,-31893.616715577096,-2083.437790805896
138,0.0016397067951884766,-31893.616715577096,-2083.437790805896
139,0.0016431537358076046,-31893.616715577096,-2083.437790805896
140,0.0016466079224780794,-31893.616715577096,-2083.437790805896
141,0.001650069370432325,-31893.616715577096,-2083.437790805896
142,0.0016535380949347861,-31893.616715577096,-2083.437790805896
143,0.001657014111281996,-31893.616715577096,-2083.437790805896
144,0.001660497434802644,-31893.616715577096,-2083.437790805896
145,0.0016639880808576426,-31893.616715577096,-2083.437790805896
146,0.001667486064840196,-31893.616715577096,-2083.437790805896
147,0.001670991402175867,-31893.616715577096,-2083.437790805896
148,0.0016745041083226458,-31893.616715577096,-2083.437790805896
149,0.0016780241987710183,-31893.616715577096,-2083.437790805896
150,0.001681551689044033,-31893.616715577096,-2083.437790805896
151,0.0016850865946973713,-31893.616715577096,-2083.437790805896
152,0.0016886289313194154,-31893.616715577096,-2083.437790805896
153,0.0016921787145313162,-31893.616715577096,-2083.437790805896
154,0.0016957359599870632,-31893.616715577096,-2083.437790805896
155,0.0016993006833735537,-31893.616715577096,-2083.437790805896
156,0.0017028729004106606,-31893.616715577096,-2083.437790805896
157,0.0017064526268513035,-31893.616715577096,-2083.437790805896
158,0.0017100398784815167,-31893.616715577096,-2083.437790805896
159,0.0017136346711205195,-31893.616715577096,-2083.437790805896
160,0.0017172370206207865,-31893.616715577096,-2083.437790805896
161,0.0017208469428681159,-31893.616715577096,-2083.437790805896
162,0.0017244644537817014,-31893.616715577096,-2083.437790805896
163,0.0017280895693142007,-31893.616715577096,-2083.437790805896
164,0.0017317223054518075,-31893.616715577096,-2083.437790805896
165,0.0017353626782143207,-31893.616715577096,-2083.437790805896
166,0.0017390107036552155,-31893.616715577096,-2083.437790805896
167,0.0017426663978617146,-31893.616715577096,-2083.437790805896
168,0.0017463297769548583,-31893.616715577096,-2083.437790805896
169,0.0017500008570895762,-31893.616715577096,-2083.437790805896
170,0.0017536796544547586,-31893.616715577096,-2083.437790805896
171,0.001757366185273327,-31893.616715577096,-2083.437790805896
172,0.001761060465802307,-31893.616715577096,-2083.437790805896
